id_str,full_text
1245466584560414720,@SBergsma Alsof de gemiddelde Amerikaanse coronadode in zo\n kartonnen doos past..
1245417164196192257,Zooi staat in vuur en vlam en Jetten blijft hameren op geld naar zuid Europa. Wat een totaal debiel is dat toch! #coronanl #coronadebat
1245416159085821955,Je kan extreem complexe modellen hebben die het menselijkbrein overstijgen. Maar het beste model is nog altijd Italië geweest. Daar lopen namelijk ook homo sapiens rondt die geinfecteerd zijn met het coronavirus. En het Italië model was prima op een bierviltje te berekenen. #RIVM
1245415606335221760,De markt open in #Maastricht ? Welke achterlijke klootviool heeft dat toegelaten? 😵 #corona #nosnieuws\\n\\nHou toch op met je \\
1245388492743553034,Nu op TPO (Autotweet) Coronavirus – De ChristenUnie wil de hoeren redden https://t.co/CVgj8JfAHT
1245383371322081280,Nu op TPO: Coronavirus - De ChristenUnie wil de hoeren redden https://t.co/EVoHqJAP1t
1245388579637002246,Coronavirus – De ChristenUnie wil de hoeren redden https://t.co/i0JMZsN8MU
1245385904543404033,@petermntmrncy @podevyns Kunnen we in corona tijden even niet debiel doen
1245381837456891904,Heel diplomatiek. Maar @minpres dan verwachten we denk ik toch eerst dat er een rectificatie volgt vanuit die landen met hun achterlijke geschreeuw en krantenadvertenties. | Rutte wil met Italië en Spanje om tafel: wel bereid tot gift
1245382511024377862,Tof gebaar van #Sparkles  Sparkles: een hele doos gratis kaarten voor mensen die wel een bemoediging kunnen gebruiken!\\nDoe je mee? Ook jongeren zijn van harte welkom
1245385620081557505,Top van #Sparkles! Een hele doos gratis kaarten! Daar weten we wel raad mee :-)\\nWerk je in de zorg of als hulpverlener? We doen graag iets voor jouw cliënten of gezin. Zie: https://t.co/eu2AvnST4v\\n#coronahulp #presentvoorjou #nietalleen https://t.co/74Miq06Oin
1245241943610863618,Alle rechts-extremistische boycot tokkies die nu zo blij zijn dat de #Hema op omvallen staat
1245320524663869440,@DrGjCA @rivm U hoeft geen slaaf van angst te worden. Er is altijd hoop.
1245324061237968896,@rivm Wees geen slaaf van angst. Er is altijd hoop!
1245328788432527361,@PieterHendrikse @Kuijken040 Wat een debiele ridiculisatie en achterlijk geloof in de leugens vd RIVM. Mondkapjes voor burgers helpen. Vooral ook om anderen niet te besmetten.\\nDaarom ook verplicht in ZO-Aziatische landen
1245333647487631362,@PLoobuyck 2. Zorg dat de eerste lading naar zij gaan die ons moeten genezen zodat zij niet ziek zijn. Aangezien ge als volk achterlijk zijt en toch niet luistert gaan we u niet doen hamsteren en niet zeggen dat ge allemaal snel een mondmasker moet gaan halen. (boodschap 2)
1245323500673478658,@ericchendriks Ik hoor van iemand dat in Vietnam alle blanken op straat worden lastiggevallen en verwensingen met \corona\ naar hun hoofd krijgen. Die propaganda werkt ook buiten China.
1245323325011906560,Ach ach met deze coronatijden zie je zo duidelijk hoe de echte tokkies zich jarenlang voordeden als nette succesvolle mensen.\\n\\nWC de Leyens (de ‘betere’ wijk in Zoetermeer) toont in optima forma hoe tokkiegedrag eruit ziet. Walgelijk op alle fronten.
1245309362287128576,@veronicainside Ik vind dit minder erg dan het #coronalied v @gordon waarin Nederlanders worden mishandeld en neergezet als achterlijk en debiel.
1245316457862397952,@HoogOverijssel @NeeAirportLEY @armburlage @RuudHteB @ytekedejong En door Corona crisis kan de minister haar gezicht redden (en alsnog de vrouwelijke lijsttrekker vd VVD worden)
1245318192400150529,Oude pavlovreactie van Foromezen van voor de opening van de doos van Pandora: Corona die kent geen  onderscheid. Alle nationaliteiten zitten in dezelfde boot die volloopt: dus Samen pompen of verzuipen. Solidariteit is uiteindelijk in het belang van ieder van ons. https://t.co/uAoh9acgTF
1245249376529911809,Familie van een cliënt was erg tegen ons tekeergegaan over de genomen maatregelen. Gisteren stuurden zij een doos chocola met dank voor onze zorgen en de vraag om ook goed op onszelf te passen. #verpleeghuis #COVID19NL
1245255916506791942,Van die achterlijke droeftoeters die inzitten over de voetbalcompetitie
1245253605965389824,Zie van allerlei artikelen voorbij komen dat mensen de corona voorspelt hadden. Well done maar daar schieten we geen flikker mee op
1245281638424207360,Deze heisa toont vooral hoe debiel de massa is. Zelfstandig nadenken is teveel gevraagd. Alles wat men kan is napraten. Maakt niet uit hoe dom het is dat ze door macht en media wordt verteld
1245285235660636161,@denbokkerijder @rafliekens Een expert die bij het uitbreken van de coronacrisis vaststelt dat er geen maskers zijn zou een debiel zijn om te zeggen dat iedereen mondmaskers moet dragen die er niet zijn.  Dat zou pas onverantwoord zijn en zorgen voor paniek
1245374550478651396,@LeavdBerg Dat is een homo met corona
1245444173345501184,@robertjensen Ben er zo langzamerhand  wel klaar mee met de achterlijke corona gedoe tijd voor het gezonde verstand  ....
1245452280356356097,6 weken????? Wat is dit voor achterlijke straf. Is ernstig gevaarlijk. @ferdgrapperhaus Feestende Amersfoortse coronadreiger die agent in gezicht hoestte moet zes weken brommen | Corona in Amersfoort | https://t.co/ElzFwI7Mgx\\nhttps://t.co/diVl8OIkRR
1245291623723876352,Als ik iets niet geloof dan is het wel die kut RIVM en die mongool van een Jaap van Dissel https://t.co/lyVFQqq3xt
1245303793719394305,Voor degenen die te veel op Twitter zitten. \\n\\nFf pauze! 😳\\n\\nAls een 50-plusser net boven de BMI-grens (en ook nog rechtse homo zonder #regenboogvlaggetje én blank) dit kan
1245296188192145410,@Realist50063598 Chlamydia kom je nooit meer van af.......corona is maar een griepje.......de hoeren zijn dus veel erger gewend.\\nEn beter gefucked door een hoer dan door Rutte en z\n corona gelul club
1245298462163435520,Eigenlijk moet iedereen die aandachtszieke en zelfbenoemde #bners massaal niet meer volgen!\\nZij doen er op dit moment totaal niet toe met selfies en achterlijke liedjes! #coronalied\\n#coronanederland
1245336274036305926,Belachelijk om dit in een CRISISDEBAT. Op te werpen #Coronadebat @F_azarkan ga je doodschamen met je achterlijke islam https://t.co/afYCXvycEn
